"betaE1","betaE2","betaU1","betaU2","TE.diff1","TE.diff2","TE.rr1","TE.rr2","TE.or1","TE.or2"
1,1.25,2,2,0.00356,0.019479,2.13390240795006,7.20429354057842,2.14155033859853,7.34787355333181
1,1.25,3,3,0.00934,0.041565,3.18000186723929,10.7014751190365,3.21011333536564,11.1676560482554
1,1.25,4,4,0.0158566,0.0677652,3.74183842855167,12.7175957947157,3.80248361345,13.6478229350737
1,1.25,5,5,0.0220168,0.0931198,4.00537825220454,13.7112124273117,4.09622968124957,15.1305655636965
1,1.25,6,6,0.028076,0.116151,4.15191521846513,14.039539269837,4.27296110270306,15.9033286913123
1,1.25,7,7,0.032997,0.137121,4.16445134932965,14.1500661718166,4.30810377071049,16.4261733708008
1,1.5,2,2,0.0035228,0.0238888,2.13346203346203,8.68622908622909,2.14102796167028,8.89949003891157
1,1.5,3,3,0.0089268,0.0498176,3.07176011882659,12.561826958782,3.09954890835805,13.2234376335084
1,1.5,4,4,0.0150472,0.079041,3.59121749612537,14.6113311520579,3.64640617988186,15.8733009948706
1,1.5,5,5,0.0207656,0.1072162,3.80532814568642,15.4843695117668,3.88663839877544,17.3594652427459
1,1.5,6,6,0.0258844,0.1327214,3.92631198136885,16.004567345739,4.03159880142249,18.4790156598545
1,1.5,7,7,0.0302218,0.1549164,3.90454589139837,15.8886496876502,4.02754537170557,18.8375840564861
1,1.75,2,2,0.0034796,0.0279882,2.13401121105462,10.1214313648807,2.14148565915074,10.4137917290945
1,1.75,3,3,0.0087572,0.0575926,3.06109960459424,14.5550273018264,3.08825950775206,15.4485455890149
1,1.75,4,4,0.0144358,0.089969,3.49711122643141,16.5628783947414,3.54863650084163,18.2108138177953
1,1.75,5,5,0.0194868,0.1208648,3.63934337414671,17.3702459638097,3.71222074558046,19.7785585393664
1,1.75,6,6,0.0240858,0.1478852,3.69675526793112,17.5578968582753,3.78883478375326,20.6373610513149
1,1.75,7,7,0.0277678,0.1712588,3.65344774864307,17.3652243712254,3.75892876868468,20.9996289410588
1,2,2,2,0.003461,0.0323542,2.11022005517418,11.3785847180343,2.11757189009599,11.7602686639753
1,2,3,3,0.0084544,0.0650468,2.96294404457859,16.1025771999071,2.98831776287778,17.2280544420717
1,2,4,4,0.013779,0.1005162,3.37618127888529,18.3339656480651,3.42363063472582,20.3960575013177
1,2,5,5,0.0184404,0.1332138,3.48650252150697,18.9625414632831,3.55250153263572,21.9019880415689
1,2,6,6,0.0224674,0.1617434,3.5062915532551,19.0428584177413,3.58762527332107,22.7569373228656
1,2,7,7,0.0255932,0.1855942,3.43410941185422,18.6514304192346,3.52529163198529,22.9574813454088
1,2.25,2,2,0.0033652,0.0366614,2.08849786518308,12.8583904774227,2.09557175287705,13.3493127054005
1,2.25,3,3,0.0082832,0.0722442,2.94286250410471,17.9452080499132,2.96754854872615,19.3490498134183
1,2.25,4,4,0.0132436,0.110656,3.31742143207111,20.3630573248408,3.36220506048991,22.9131026055282
1,2.25,5,5,0.0174618,0.144777,3.37581975019728,20.6980870227761,3.43626744349839,24.2323500999632
1,2.25,6,6,0.021001,0.1742026,3.34831711953483,20.4792127921279,3.42080572620017,24.8466154949131
1,2.25,7,7,0.0237754,0.1996108,3.27059497660204,20.0632031324611,3.35111210209524,25.1331357252701
1,2.5,2,2,0.0033332,0.0406142,2.07384020618557,14.0844716494845,2.08079751595527,14.6826525920336
1,2.5,3,3,0.0080276,0.0795144,2.85275110782866,19.3517355982275,2.87593845753922,21.031304383098
1,2.5,4,4,0.0125602,0.1196852,3.16383557867898,21.6190262894945,3.20431742736913,24.577799652302
1,2.5,5,5,0.0167212,0.1554802,3.29214530500343,22.3132556545579,3.34854851587027,26.4570285717264
1,2.5,6,6,0.0199242,0.1862734,3.21429206490331,21.7016448099578,3.28024167054721,26.7250019571291
1,2.5,7,7,0.0224048,0.2118914,3.14498525638571,21.2860069697086,3.21784134455432,27.085845070899
